Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",1210,2,4.7u,C697607
"C10, C11, C12, C15, C2, C3, C4, C7, C8",402,9,100n,C162179
"C13, C5",1210,2,22u,C52306
"C14, C9",603,2,1u,C15849
"D1, D5",603,2,RED,C2286
D2,D_SOD-123F,1,D_TVS,C2994213
D4,SON50P100X255X50-10N,1,TPD4E05U06DQAR,C138714
D6,D_SOD-123,1,D_Schottky,C908227
J1,USB_C_XKB_240W,1,U263-163N-4GS1735,C2931470
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,QWIIC,C160404
J3,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Screw_Terminal_5mm,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
L1,L_APV_APH0530,1,3.3uH,C5349682
Q1,SOT-723,1,RUM001L02T2CL,C253528
"R1, R13, R15, R2, R7",402,5,5.1k,C25905
R12,603,1,100k,C25803
R14,402,1,10k,C25744
R3,603,1,18k,C25810
R4,402,1,1k,C11702
R5,603,1,10k,C4184
"R6, R8",402,2,100k,C25741
R9,805,1,5m,C22450690
TH1,402,1,Thermistor_NTC,C77131
U1,TSOT-23-8,1,LM74502DDFR,C5219202
U2,TSOT-23-6,1,LMR51635YDDCR,C45262770
"U3, U6",DFN-8(3.3x3.3),2,XRS40N10D,C50314150
U4,VSSOP-10_3x3mm_P0.5mm,1,INA238,C2868250
U5,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,AP33772S,C24374260
U7,VSSOP-8_2.3x2mm_P0.5mm,1,TXS0102DCUR,C53434
