Designator,Mid X,Mid Y,Rotation,Layer
C1,-1.1,-15.05,180.0,top
C10,-4.8,-3.8,90.0,top
C11,4.5,-6.5,180.0,top
C12,7.3,-11.95,0.0,top
C13,-3.4,-23.9,0.0,top
C14,5.55,-13.3,270.0,top
C2,-6.6,-20.3,0.0,top
C3,2.6525,-6.5,0.0,top
C4,3.4,-18.9,0.0,top
C5,-3.375,-27.2,0.0,top
C6,9.05,-14.05,180.0,top
C7,0.1,-9.2,90.0,top
C8,-6.858,-7.443,180.0,top
C9,-6.7,-11.4,180.0,top
D1,-5.8,-2.1,0.0,top
D2,9.255,-19.0,180.0,top
D4,-0.127,-2.9,0.0,top
D5,-0.3,-24.3,270.0,top
D6,9.35,-16.8,180.0,top
J1,0.039,-0.031,180.0,top
J2,-9.0,-24.7,270.0,top
J3,6.985,-24.905,0.0,top
J4,-10.1,-10.252,0.0,top
L1,-1.7,-19.5,180.0,top
Q1,0.7125,-12.4,0.0,top
R1,-5.8,-3.8,90.0,top
R12,6.6,-0.31,90.0,top
R13,-6.878,-9.234,0.0,top
R14,-6.878,-10.25,0.0,top
R15,-3.8,-3.8,90.0,top
R2,-6.8,-3.8,90.0,top
R3,5.3,-18.4,90.0,top
R4,6.5,-18.7,270.0,top
R5,0.8,-27.3,90.0,top
R6,2.1,-12.5,90.0,top
R7,-1.2,-12.65,180.0,top
R8,1.0,-23.8,90.0,top
R9,9.6,-10.25,270.0,top
TH1,-3.8,-1.9,90.0,top
U1,3.6,-4.4,270.0,top
U2,2.9,-16.2,180.0,top
U3,9.375,-2.4,0.0,top
U4,4.55,-10.0,270.0,top
U5,-3.048,-7.697,180.0,top
U6,9.4,-6.4875,180.0,top
U7,-7.1,-15.9,0.0,top
